restaurant_id,title,city_clean,lat,lng,rating_final,has_rating,reviewsCount,n_reviews_with_text,has_text,reviews_text_combined
مقهى غيث Gaith coffee_18.11318_-15.99305,مقهى غيث Gaith coffee,Nouakchott,18.1131765,-15.9930544,4.6,True,14,7,True,"I highly recommend this place to anyone looking for a nice place . The place is very comfortable and the food is of high quality . Best cafeteria zero stress . They open at 10 am. . The food is wonderful and very tasty. The service is more than wonderful. The place is tidy and comfortable. I recommend visiting it. . Thank you for the hospitality and reception. I enjoyed the quality you offer. I hope you will continue to provide the best always. . Best place, best sweets, juice and fast service"
Restaurant notre coin_18.12897_-15.97275,Restaurant notre coin,Nouakchott,18.1289693,-15.9727502,4.0,True,3,0,False,
مطعم برنس العرب_18.1291_-15.93941,مطعم برنس العرب,Nouakchott,18.1291043,-15.9394103,1.0,True,1,1,True,"They make donkey meat into shawarma, oh my!"
المحصر_18.13175_-15.97758,المحصر,Nouakchott,18.1317504,-15.9775806,3.3,True,4,1,True,Extremely bad reputation
مشاوي الصحراء_18.15081_-15.95835,مشاوي الصحراء,Nouakchott,18.1508085,-15.9583547,2.3,True,3,0,False,
مطعم الديك الذهبي_18.13035_-15.93539,مطعم الديك الذهبي,Nouakchott,18.130347,-15.9353907,3.2,True,5,3,True,Good service . Ok restaurant . Beautiful song
Levrigue لفريك_18.15025_-15.95297,Levrigue لفريك,Jreida,18.1502529,-15.9529722,3.6,True,5,1,True,Good place to walk and relax
منتجع الراحة_18.14977_-15.96001,منتجع الراحة,Jreida,18.1497742,-15.9600089,4.0,True,4,1,True,"A beautiful place and all the places are beautiful in this country, Chinguetti, or the beautiful country of Chinguetti, with its people, its land, the purity of its atmosphere, and the purity of its sea. The painful observation is that you find beaches, wild places, and some parks neglected, and garbage here and there Mauritania needs to pay attention to the environment and ensure the cleanliness of the place, our beloved ones. Preserve your home, for it is your country. Leave the place clean, and you will return to it again and again. Just as you found it clean, leave it clean for others. And I remember you and myself With a hadith of the Messenger, peace and blessings be upon him Muslims are partners in three things: pastures, water, and fire."
El baraka_18.13764_-15.92927,El baraka,Nouakchott,18.1376403,-15.9292668,,False,0,0,False,
مطعم Restaurant le Bontoit_18.1331_-15.94983,مطعم Restaurant le Bontoit,Jreida,18.1330989,-15.9498299,3.3,True,4,2,True,"The bontoit . Poor quality of food, poor location, no parking area if you want a take away"
مشوي العيد المشكور_18.149_-15.96114,مشوي العيد المشكور,Nouakchott,18.1490022,-15.9611421,4.2,True,6,1,True,very delicious
دجاج مشوي Deliciously Chicken_18.12993_-15.98927,دجاج مشوي Deliciously Chicken,Nouakchott,18.1299302,-15.9892668,4.6,True,9,5,True,"Best grilled chicken in town, mashaAllah Delivery service available 24/7 . It’s delivery only restaurant, but they don’t pick up the phone. Not sure if they still in business ! . Shawarma naaaaaar . Perfect . so delicious"
Fatayer & pizza wadi al aqiq_18.14181_-15.94141,Fatayer & pizza wadi al aqiq,Nouakchott,18.1418144,-15.9414085,5.0,True,1,0,False,
The Tent Restaurant (Al-Khaimah) - Nouakchott_18.13353_-15.97052,The Tent Restaurant (Al-Khaimah) - Nouakchott,Nouakchott,18.1335307,-15.9705243,3.4,True,8,4,True,"absurd . good . The Tent Restaurant (Al-Khaimah) in Nouakchott is an establishment you should avoid like the plague. If you have even a shred of regard for your time, steer clear of this place. Our experience was nothing short of a nightmare. After waiting for an hour for our food, we were informed that they didn't have what we ordered. Fine, mistakes happen, right? Wrong. After changing our order, they returned ten minutes later to inform us that they didn't have that either, but miraculously had the original order available now. Unbelievable. To compound the frustration, our drink orders were repeatedly botched. Despite multiple attempts to rectify the situation, they consistently brought the wrong drinks. When we finally managed to catch their attention, we were met with an aggressive, rude, and shockingly racist manager. Their behavior was utterly disgraceful, and they even went as far as to scream insults and demand we leave the premises. As if that wasn't enough, when we dared to express our dissatisfaction, the manager threatened to call the police, accusing us of wasting their money despite our honest attempts to rectify their mistakes. It was a complete circus, and the final straw was when the manager tried to twist the situation, claiming that we had sworn at them and called them names, which was entirely false. They even had the audacity to tell us, ""Go back to your country and order the juice there. This is Mauritania and this is how we make the juice."" In summary, The Tent Restaurant is a cesspool of incompetence, disrespect, and racism. Save yourself the trouble and dine elsewhere. ******** Restaurant The Tent (Al-Khaimah) in Nouakchott is an establishment to avoid at all costs. If you have any respect for your time, stay away from this place. Our experience was nothing short of a nightmare. After waiting an hour for our food, we were informed that they did not have what we ordered. Well, mistakes happen, right? Fake. After changing our order, they came back ten minutes later to inform us that they didn't have that either, but miraculously had the original order available now. Amazing. To compound the frustration, our drink orders were constantly botched. Despite several attempts to rectify the situation, they consistently brought the wrong drinks. When we finally managed to get their attention, we were confronted with an aggressive, rude and shockingly racist manager. Their behavior was totally shameful, and they even went so far as to insult us and demand that we leave the premises. As if that wasn't enough, when we dared to express our dissatisfaction, the manager threatened to call the police, accusing us of wasting their money despite our honest attempts to rectify their mistakes. It was a real circus, and the worst was when the manager tried to twist the situation, claiming that we had insulted them and called them names, which was completely false. They even had the audacity to tell us: ""Go back to your country and order the juice there. This is Mauritania and this is how we make the juice."" In summary, The Tent Restaurant is a hotbed of incompetence, disrespect and racism. Save yourself the trouble and dine elsewhere. . Great project"
مطعم كمال سعيد_18.13153_-15.97786,مطعم كمال سعيد,Nouakchott,18.1315275,-15.977865,3.8,True,52,3,True,"Their food is delicious, I wish they would eat it. But if they need service, they'll be late. . I'm surprised not to see many reviews for this place.. but it's really beautiful, traditional ambience, good prices compared with the portions they serve, tea didn't stop all the time and sure a juice was offered to us ... I surely would recommend it . good"
موريتانيا_18.13581_-15.96623,موريتانيا,Nouakchott,18.1358064,-15.9662325,3.0,True,1,0,False,
Karim& brothers_18.13234_-15.9776,Karim& brothers,Nouakchott,18.1323429,-15.9776039,3.8,True,26,5,True,"Great meals, thank God. . Unable to order by phone and have it delivered. Poor coordination. . Bad receptionist on the phone . comfortable . Good overall"
Restaurant L’oasis - مطعم الوازيز_18.13196_-15.94312,Restaurant L’oasis - مطعم الوازيز,Nouakchott,18.131958,-15.9431241,4.3,True,3,1,True,Luxury restaurant ️
مشروع لعزيب_18.15197_-15.95597,مشروع لعزيب,Nouakchott,18.1519695,-15.9559662,1.0,True,1,1,True,How do I want to find
CLASS FOOD_18.14196_-15.93669,CLASS FOOD,Nouakchott,18.1419562,-15.9366858,5.0,True,1,1,True,Good
المراكشي للعصائر الطبيعية_18.14008_-15.93906,المراكشي للعصائر الطبيعية,Nouakchott,18.1400832,-15.939062,,False,0,0,False,
ملاهي24/MELAHI24_18.1513_-15.96211,ملاهي24/MELAHI24,Nouakchott,18.1513022,-15.9621087,5.0,True,2,1,True,"God willing, may God bless you"
Restaurant cisse 3_18.13532_-15.93268,Restaurant cisse 3,Nouakchott,18.1353184,-15.9326772,4.2,True,13,6,True,"Hussein Restaurant offers the best services and delicious food. . He was a watell . Good . His food was good, he changed it and he is tired . A restaurant with good meals and good services . Financial Seas Restaurant 3"
‏مطعم السلامة_18.13334_-15.93901,‏مطعم السلامة,Nouakchott,18.1333389,-15.9390083,5.0,True,1,0,False,
المطعم الجامعي Restaurant universitaire_18.16082_-15.99019,المطعم الجامعي Restaurant universitaire,Nouakchott,18.1608162,-15.9901892,4.0,True,12,6,True,"Severe crowding . Super . I hope the experience can be generalized to all schools . Meals are of low quality . The university restaurant is known to students as ""Al-Khala"" . That is the most useless thing from Renk"
مشاوي الصحة والراحة_18.15016_-15.95742,مشاوي الصحة والراحة,Nouakchott,18.1501628,-15.9574232,4.3,True,7,1,True,amazing
منتجع اتريند(مطعم اتريند)_18.13312_-15.97379,منتجع اتريند(مطعم اتريند),Jreida,18.1331152,-15.9737885,3.8,True,13,2,True,I came to my senses and my stomach choked me . Bad unfortunately
